geneSymbol,maneTranscript,maneProtein,domainName,startResidue,endResidue,excludedResidues,rowStatus,source,sourceVersion,notes
GATA3,NM_001002295.2,NP_001002295.1,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
HRAS,NM_005343.4,NP_005334.1,P-loop,10,17,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN046 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN046 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
HRAS,NM_005343.4,NP_005334.1,SW1,25,40,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN046 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN046 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
HRAS,NM_005343.4,NP_005334.1,SW2,57,64,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN046 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN046 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
HRAS,NM_005343.4,NP_005334.1,SAK,145,156,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN046 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN046 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
JAK2,NM_004972.4,NP_004963.1,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
KRAS,NM_004985.5,NP_004976.2,P-loop,10,17,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN044 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN044 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
KRAS,NM_004985.5,NP_004976.2,SW1,25,40,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN044 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN044 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
KRAS,NM_004985.5,NP_004976.2,SW2,57,64,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN044 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN044 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
KRAS,NM_004985.5,NP_004976.2,SAK,145,156,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN044 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN044 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
MET,NM_000245.4,NP_000236.2,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
MYC,NM_002467.6,NP_002458.2,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
NF1,NM_001042492.3,NP_001035957.1,,,,,clingen_spec_not_released,ClinGen CSPEC,,"ClinGen CSPEC record exists, but no specification is currently in an allowed release state for this build policy. Non-released specs: GN109:Approved For Release. | rowStatus=clingen_spec_not_released | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription="
NRAS,NM_002524.5,NP_002515.1,P-loop,10,17,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN039 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN039 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
NRAS,NM_002524.5,NP_002515.1,SW1,25,40,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN039 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN039 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
NRAS,NM_002524.5,NP_002515.1,SW2,57,64,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN039 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN039 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
NRAS,NM_002524.5,NP_002515.1,SAK,145,156,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN039 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN039 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (P-loop [AA 10-17], SW1 [AA 25-40], SW2 [AA 57-64], SAK [AA 145-156]). Not applicable to specific amino acid residues (see PM5)."
PIK3CA,NM_006218.4,NP_006209.2,,,,,missing_boundaries,ClinGen CSPEC,1.1,No explicit residue intervals could be parsed automatically. | rowStatus=missing_boundaries | criteria=PM1 | strength=criterion | status=Released | specId=GN018 | extraction=manual_review_required | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN018 | rawDescription=Located in a mutational hot spot and/or critical and well-established functional domain (e.g. active site of an enzyme) without benign variation.
PTEN,NM_000314.8,NP_000305.3,catalytic motifs,90,94,,ready,ClinGen CSPEC,3.2,"Parsed unlabeled residue range list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN003 | extraction=parsed_motif_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN003 | clingenProtein=NP_000305.3 | rawDescription=Located in a mutational hot spot and/or critical and well-established functional domain. Defined to include residues in catalytic motifs: 90-94, 123-130, 166-168 (NP_ 000305.3)"
PTEN,NM_000314.8,NP_000305.3,catalytic motifs,123,130,,ready,ClinGen CSPEC,3.2,"Parsed unlabeled residue range list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN003 | extraction=parsed_motif_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN003 | clingenProtein=NP_000305.3 | rawDescription=Located in a mutational hot spot and/or critical and well-established functional domain. Defined to include residues in catalytic motifs: 90-94, 123-130, 166-168 (NP_ 000305.3)"
PTEN,NM_000314.8,NP_000305.3,catalytic motifs,166,168,,ready,ClinGen CSPEC,3.2,"Parsed unlabeled residue range list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN003 | extraction=parsed_motif_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN003 | clingenProtein=NP_000305.3 | rawDescription=Located in a mutational hot spot and/or critical and well-established functional domain. Defined to include residues in catalytic motifs: 90-94, 123-130, 166-168 (NP_ 000305.3)"
SMAD4,NM_005359.6,NP_005350.1,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
TP53,NM_000546.6,NP_000537.3,,,,,missing_boundaries,ClinGen CSPEC,2.4,No explicit residue intervals could be parsed automatically. | rowStatus=missing_boundaries | criteria=PM1 | strength=Supporting | status=Released | specId=GN009 | extraction=manual_review_required | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN009 | rawDescription=Missense variants seen in cancerhotspots.org with 2-9 somatic occurrences for the same amino acid change.
TP53,NM_000546.6,NP_000537.3,Curated codon hotspot,175,175,,ready,ClinGen CSPEC,2.4,"Parsed codon list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN009 | extraction=parsed_codon | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN009 | clingenTranscript=NM_00546.4 | rawDescription=Missense variants within the following codons using transcript NM_00546.4: 175, 245, 248, 249, 273, 282. This code weight can also be used for germline missense variants seen in cancerhotspots.org with ≥ 10 somatic occurrences for the same amino acid change."
TP53,NM_000546.6,NP_000537.3,Curated codon hotspot,245,245,,ready,ClinGen CSPEC,2.4,"Parsed codon list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN009 | extraction=parsed_codon | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN009 | clingenTranscript=NM_00546.4 | rawDescription=Missense variants within the following codons using transcript NM_00546.4: 175, 245, 248, 249, 273, 282. This code weight can also be used for germline missense variants seen in cancerhotspots.org with ≥ 10 somatic occurrences for the same amino acid change."
TP53,NM_000546.6,NP_000537.3,Curated codon hotspot,248,248,,ready,ClinGen CSPEC,2.4,"Parsed codon list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN009 | extraction=parsed_codon | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN009 | clingenTranscript=NM_00546.4 | rawDescription=Missense variants within the following codons using transcript NM_00546.4: 175, 245, 248, 249, 273, 282. This code weight can also be used for germline missense variants seen in cancerhotspots.org with ≥ 10 somatic occurrences for the same amino acid change."
TP53,NM_000546.6,NP_000537.3,Curated codon hotspot,249,249,,ready,ClinGen CSPEC,2.4,"Parsed codon list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN009 | extraction=parsed_codon | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN009 | clingenTranscript=NM_00546.4 | rawDescription=Missense variants within the following codons using transcript NM_00546.4: 175, 245, 248, 249, 273, 282. This code weight can also be used for germline missense variants seen in cancerhotspots.org with ≥ 10 somatic occurrences for the same amino acid change."
TP53,NM_000546.6,NP_000537.3,Curated codon hotspot,273,273,,ready,ClinGen CSPEC,2.4,"Parsed codon list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN009 | extraction=parsed_codon | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN009 | clingenTranscript=NM_00546.4 | rawDescription=Missense variants within the following codons using transcript NM_00546.4: 175, 245, 248, 249, 273, 282. This code weight can also be used for germline missense variants seen in cancerhotspots.org with ≥ 10 somatic occurrences for the same amino acid change."
TP53,NM_000546.6,NP_000537.3,Curated codon hotspot,282,282,,ready,ClinGen CSPEC,2.4,"Parsed codon list from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN009 | extraction=parsed_codon | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN009 | clingenTranscript=NM_00546.4 | rawDescription=Missense variants within the following codons using transcript NM_00546.4: 175, 245, 248, 249, 273, 282. This code weight can also be used for germline missense variants seen in cancerhotspots.org with ≥ 10 somatic occurrences for the same amino acid change."
VHL,NM_000551.4,NP_000542.1,,,,,missing_boundaries,ClinGen CSPEC,1.1,No explicit residue intervals could be parsed automatically. | rowStatus=missing_boundaries | criteria=PM1 | strength=Moderate | status=Released | specId=GN078 | extraction=manual_review_required | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN078 | rawDescription=Putative missense variants that are known germline hotspots AND/OR in key functional domains AND/OR somatic variants that have ≥10 instances for the same AA in cancerhotspots.org. See the table of Germline and Somatic Hotspots.
VHL,NM_000551.4,NP_000542.1,,,,,missing_boundaries,ClinGen CSPEC,1.1,"No explicit residue intervals could be parsed automatically. | rowStatus=missing_boundaries | criteria=PM1 | strength=Supporting | status=Released | specId=GN078 | extraction=manual_review_required | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN078 | rawDescription=Putative missense variants seen in somatic databases, having <10 instances for the same AA in cancerhotspots.org. See the table of Germline and Somatic Hotspots."
