NCBIgeneSymbol,HGNCgeneId,HGNCgeneSymbol,featureType,build37RefSeq,build37Start,build37End,build38RefSeq,build38Start,build38End,name,geneSynonym,chromosome,NCBIgeneId,Oncogene,TSG
AAR2,HGNC:15886,AAR2,GENE,NC_000020.10,34824399,34844855,NC_000020.11,36236135,36256934,AAR2 splicing factor,"C20orf4,CGI-23",chr20,GeneID:25980,,
AARD,HGNC:33842,AARD,GENE,NC_000008.10,117950445,117956726,NC_000008.11,116938206,116944487,alanine and arginine rich domain containing protein,C8orf85,chr8,GeneID:441376,,
AARS1,HGNC:20,AARS1,GENE,NC_000016.9,70286200,70323409,NC_000016.10,70252294,70289509,alanyl-tRNA synthetase 1,"AARS,CMT2N,DEE29,EIEE29",chr16,GeneID:16,,
AARS2,HGNC:21022,AARS2,GENE,NC_000006.11,44266467,44281084,NC_000006.12,44297849,44313358,alanyl-tRNA synthetase 2%2C mitochondrial,"AARSL,COXPD8,LKENP,MT-ALARS,MTALARS",chr6,GeneID:57505,,
AARSD1,HGNC:28417,AARSD1,GENE,NC_000017.10,41102542,41116471,NC_000017.11,42950525,42964454,alanyl-tRNA synthetase domain containing 1,AlaXp,chr17,GeneID:80755,,
AASDH,HGNC:23993,AASDH,GENE,NC_000004.11,57204455,57253657,NC_000004.12,56337686,56389418,aminoadipate-semialdehyde dehydrogenase,"ACSF4,LYS2,NRPS1098,NRPS998",chr4,GeneID:132949,,
AASDHPPT,HGNC:14235,AASDHPPT,GENE,NC_000011.9,105948388,105969422,NC_000011.10,106077604,106098695,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,"AASD-PPT,ACPS,CGI-80,LYS2,L",chr11,GeneID:60496,,
AASS,HGNC:17366,AASS,GENE,NC_000007.13,121713602,121784303,NC_000007.14,122073543,122144269,aminoadipate-semialdehyde synthase,"LKR/SDH,LKRSDH,LORSDH",chr7,GeneID:10157,,
AATF,HGNC:19235,AATF,GENE,NC_000017.10,35306253,35414171,NC_000017.11,36948953,37056871,apoptosis antagonizing transcription factor,"BFR2,CHE-1,CHE1,DED",chr17,GeneID:26574,,
AATK,HGNC:21,AATK,GENE,NC_000017.10,79091094,79140021,NC_000017.11,81117294,81166221,apoptosis associated tyrosine kinase,"AATYK,AATYK1,LMR1,LMTK1,p35BP,PPP1R77",chr17,GeneID:9625,,
ABAT,HGNC:23,ABAT,GENE,NC_000016.9,8768473,8878427,NC_000016.10,8674616,8784570,4-aminobutyrate aminotransferase,"GABA-AT,GABAT,NPD009",chr16,GeneID:18,,
ABCA1,HGNC:29,ABCA1,GENE,NC_000009.11,107543286,107690436,NC_000009.12,104781005,104928232,ATP binding cassette subfamily A member 1,"ABC-1,ABC1,CERP,HDLCQTL13,HDLDT1,HPALP1,TGD",chr9,GeneID:19,,
ABCA10,HGNC:30,ABCA10,GENE,NC_000017.10,67144147,67240989,NC_000017.11,69148006,69244848,ATP binding cassette subfamily A member 10,EST698739,chr17,GeneID:10349,,
ABCA12,HGNC:14637,ABCA12,GENE,NC_000002.11,215796265,216003349,NC_000002.12,214931541,215138626,ATP binding cassette subfamily A member 12,"ARCI4A,ARCI4B,ICR2B,LI2",chr2,GeneID:26154,,
ABCA13,HGNC:14638,ABCA13,GENE,NC_000007.13,48211054,48687093,NC_000007.14,48171423,48647497,ATP binding cassette subfamily A member 13,,chr7,GeneID:154664,,
ABCA2,HGNC:32,ABCA2,GENE,NC_000009.11,139901685,139923374,NC_000009.12,137007233,137028922,ATP binding cassette subfamily A member 2,"ABC2,IDPOGSA",chr9,GeneID:20,,
ABCA3,HGNC:33,ABCA3,GENE,NC_000016.9,2325881,2390729,NC_000016.10,2275880,2340728,ATP binding cassette subfamily A member 3,"ABC-C,ABC3,EST111653,LBM180,SMDP3",chr16,GeneID:21,,
ABCA4,HGNC:34,ABCA4,GENE,NC_000001.10,94458389,94586704,NC_000001.11,93992833,94121148,ATP binding cassette subfamily A member 4,"ABC10,ABCR,ARMD2,CORD3,FFM,RMP,RP19,STGD,STGD1",chr1,GeneID:24,,
ABCA5,HGNC:35,ABCA5,GENE,NC_000017.10,67240451,67323274,NC_000017.11,69244310,69327133,ATP binding cassette subfamily A member 5,"ABC13,EST90625,HTC3",chr17,GeneID:23461,,
ABCA6,HGNC:36,ABCA6,GENE,NC_000017.10,67074842,67138036,NC_000017.11,69062043,69141927,ATP binding cassette subfamily A member 6,EST155051,chr17,GeneID:23460,,
ABCA7,HGNC:37,ABCA7,GENE,NC_000019.9,1040105,1065571,NC_000019.10,1040106,1065572,ATP binding cassette subfamily A member 7,"ABCA-SSN,ABCX,AD9",chr19,GeneID:10347,,
ABCA8,HGNC:38,ABCA8,GENE,NC_000017.10,66863429,66951533,NC_000017.11,68867284,68955415,ATP binding cassette subfamily A member 8,,chr17,GeneID:10351,,
ABCA9,HGNC:39,ABCA9,GENE,NC_000017.10,66970628,67057068,NC_000017.11,68974487,69078978,ATP binding cassette subfamily A member 9,EST640918,chr17,GeneID:10350,,
ABCB1,HGNC:40,ABCB1,GENE,NC_000007.13,87132332,87342611,NC_000007.14,87503016,87713295,ATP binding cassette subfamily B member 1,"ABC20,CD243,CLCS,GP170,MDR1,p-170,P-GP,PGY1",chr7,GeneID:5243,,
ABCB10,HGNC:41,ABCB10,GENE,NC_000001.10,229652328,229694454,NC_000001.11,229516581,229558988,ATP binding cassette subfamily B member 10,"EST20237,M-ABC2,MTABC2",chr1,GeneID:23456,,
ABCB11,HGNC:42,ABCB11,GENE,NC_000002.11,169777290,169887834,NC_000002.12,168915467,169031396,ATP binding cassette subfamily B member 11,"ABC16,BRIC2,BSEP,PFIC-2,PFIC2,PGY4,SPGP",chr2,GeneID:8647,,
ABCB4,HGNC:45,ABCB4,GENE,NC_000007.13,87031011,87104996,NC_000007.14,87398987,87476722,ATP binding cassette subfamily B member 4,"ABC21,GBD1,ICP3,MDR2,MDR2/3,MDR3,PFIC-3,PGY3",chr7,GeneID:5244,,
ABCB5,HGNC:46,ABCB5,GENE,NC_000007.13,20655289,20796631,NC_000007.14,20615666,20757008,ATP binding cassette subfamily B member 5,"ABCB5alpha,ABCB5beta,EST422562",chr7,GeneID:340273,,
ABCB6,HGNC:47,ABCB6,GENE,NC_000002.11,220074493,220083680,NC_000002.12,219209771,219218958,ATP binding cassette subfamily B member 6 (Langereis blood group),"ABC,LAN,MTABC3,PRP,umat",chr2,GeneID:10058,,
ABCB7,HGNC:48,ABCB7,GENE,NC_000023.10,74270882,74376118,NC_000023.11,75051047,75156283,ATP binding cassette subfamily B member 7,"ABC7,ASAT,Atm1p,EST140535",chrX,GeneID:22,,
ABCB8,HGNC:49,ABCB8,GENE,NC_000007.13,150725536,150744869,NC_000007.14,151028449,151047782,ATP binding cassette subfamily B member 8,"EST328128,M-ABC1,MABC1,MITOSUR",chr7,GeneID:11194,,
ABCB9,HGNC:50,ABCB9,GENE,NC_000012.11,123405494,123451010,NC_000012.12,122917323,122975160,ATP binding cassette subfamily B member 9,"EST122234,TAPL",chr12,GeneID:23457,,
ABCC1,HGNC:51,ABCC1,GENE,NC_000016.9,16043472,16236910,NC_000016.10,15949615,16143062,ATP binding cassette subfamily C member 1,"ABC29,ABCC,DFNA77,GS-X,MRP,MRP1",chr16,GeneID:4363,,
ABCC10,HGNC:52,ABCC10,GENE,NC_000006.11,43395278,43418165,NC_000006.12,43427537,43451994,ATP binding cassette subfamily C member 10,"EST182763,MRP7,SIMRP7",chr6,GeneID:89845,,
ABCC11,HGNC:14639,ABCC11,GENE,NC_000016.9,48199683,48281450,NC_000016.10,48164841,48249973,ATP binding cassette subfamily C member 11,"EWWD,MRP8,WW",chr16,GeneID:85320,,
ABCC12,HGNC:14640,ABCC12,GENE,NC_000016.9,48116883,48180681,NC_000016.10,48080881,48155993,ATP binding cassette subfamily C member 12,MRP9,chr16,GeneID:94160,,
ABCC2,HGNC:53,ABCC2,GENE,NC_000010.10,101542396,101612351,NC_000010.11,99782601,99853741,ATP binding cassette subfamily C member 2,"ABC30,CMOAT,cMRP,DJS,MRP2",chr10,GeneID:1244,,
ABCC3,HGNC:54,ABCC3,GENE,NC_000017.10,48712241,48769614,NC_000017.11,50634880,50692253,ATP binding cassette subfamily C member 3,"ABC31,cMOAT2,EST90757,MLP2,MOAT-D,MRP3",chr17,GeneID:8714,,
ABCC4,HGNC:55,ABCC4,GENE,NC_000013.10,95672088,95953705,NC_000013.11,95019834,95301451,ATP binding cassette subfamily C member 4,"MOAT-B,MOATB,MRP4",chr13,GeneID:10257,,
ABCC5,HGNC:56,ABCC5,GENE,NC_000003.11,183637721,183735672,NC_000003.12,183919933,184018010,ATP binding cassette subfamily C member 5,"ABC33,EST277145,MOAT-C,MOATC,MRP5,pABC11,SMRP",chr3,GeneID:10057,,
ABCC6,HGNC:57,ABCC6,GENE,NC_000016.9,16243421,16317351,NC_000016.10,16149564,16223617,ATP binding cassette subfamily C member 6,"ABC34,ARA,EST349056,GACI2,MLP1,MOAT-E,MOATE,MRP6,PXE,PXE1,URG7",chr16,GeneID:368,,
ABCC8,HGNC:59,ABCC8,GENE,NC_000011.9,17414044,17498392,NC_000011.10,17392497,17476849,ATP binding cassette subfamily C member 8,"ABC36,HHF1,HI,HRINS,MRP8,PHHI,PNDM3,SUR,SUR1,SUR1delta2,TNDM2",chr11,GeneID:6833,,
ABCC9,HGNC:60,ABCC9,GENE,NC_000012.11,21950322,22094360,NC_000012.12,21797388,21941863,ATP binding cassette subfamily C member 9,"ABC37,ATFB12,CANTU,CMD1O,SUR2",chr12,GeneID:10060,,
ABCD1,HGNC:61,ABCD1,GENE,NC_000023.10,152990310,153010209,NC_000023.11,153724850,153744755,ATP binding cassette subfamily D member 1,"ABC42,ALD,ALDP,AMN",chrX,GeneID:215,,
ABCD2,HGNC:66,ABCD2,GENE,NC_000012.11,39943834,40013605,NC_000012.12,39530964,39651333,ATP binding cassette subfamily D member 2,"ABC39,ALDL1,ALDR,ALDRP,hALDR",chr12,GeneID:225,,
ABCD3,HGNC:67,ABCD3,GENE,NC_000001.10,94883944,94984219,NC_000001.11,94418085,94518663,ATP binding cassette subfamily D member 3,"ABC43,CBAS5,PMP70,PXMP1,ZWS2",chr1,GeneID:5825,,
ABCD4,HGNC:68,ABCD4,GENE,NC_000014.8,74751971,74769637,NC_000014.9,74285268,74303062,ATP binding cassette subfamily D member 4,"ABC41,EST352188,MAHCJ,P70R,P79R,PMP69,PXMP1L",chr14,GeneID:5826,,
ABCE1,HGNC:69,ABCE1,GENE,NC_000004.11,146019462,146050676,NC_000004.12,145098310,145129524,ATP binding cassette subfamily E member 1,"ABC38,OABP,RLI,RLI1,RNASEL1,RNASELI,RNS4I",chr4,GeneID:6059,,
ABCF1,HGNC:70,ABCF1,GENE,NC_000006.11,30539218,30559299,NC_000006.12,30571441,30591522,ATP binding cassette subfamily F member 1,"ABC27,ABC50",chr6,GeneID:23,,
ABCF2,HGNC:71,ABCF2,GENE,NC_000007.13,150908569,150924291,NC_000007.14,151211483,151227205,ATP binding cassette subfamily F member 2,"ABC28,EST133090,HUSSY-18,HUSSY18",chr7,GeneID:10061,,
ABCF2-H2BE1,HGNC:54751,ABCF2-H2BE1,GENE,NC_000007.13,150904922,150924291,NC_000007.14,151207836,151227205,ABCF2-H2BE1 readthrough,,chr7,GeneID:114483834,,
ABCF3,HGNC:72,ABCF3,GENE,NC_000003.11,183903862,183911795,NC_000003.12,184186159,184194012,ATP binding cassette subfamily F member 3,EST201864,chr3,GeneID:55324,,
ABCG1,HGNC:73,ABCG1,GENE,NC_000021.8,43619798,43717354,NC_000021.9,42199688,42304387,ATP binding cassette subfamily G member 1,"ABC8,WHITE1",chr21,GeneID:9619,,
ABCG2,HGNC:74,ABCG2,GENE,NC_000004.11,89011415,89152778,NC_000004.12,88090263,88231626,ATP binding cassette subfamily G member 2 (Junior blood group),"ABC15,ABCP,BCRP,BCRP1,BMDP,CD338,CDw338,EST157481",chr4,GeneID:9429,,
ABCG4,HGNC:13884,ABCG4,GENE,NC_000011.9,119019761,119033375,NC_000011.10,119149051,119162666,ATP binding cassette subfamily G member 4,WHITE2,chr11,GeneID:64137,,
ABCG5,HGNC:13886,ABCG5,GENE,NC_000002.11,44039610,44065978,NC_000002.12,43806153,43838840,ATP binding cassette subfamily G member 5,"STSL,STSL2",chr2,GeneID:64240,,
ABCG8,HGNC:13887,ABCG8,GENE,NC_000002.11,44066109,44110127,NC_000002.12,43831941,43882988,ATP binding cassette subfamily G member 8,"GBD4,STSL,STSL1",chr2,GeneID:64241,,
ABHD1,HGNC:17553,ABHD1,GENE,NC_000002.11,27346682,27353680,NC_000002.12,27123779,27131114,abhydrolase domain containing 1,LABH1,chr2,GeneID:84696,,
ABHD10,HGNC:25656,ABHD10,GENE,NC_000003.11,111697872,111712215,NC_000003.12,111979025,111993368,abhydrolase domain containing 10%2C depalmitoylase,,chr3,GeneID:55347,,
ABHD11,HGNC:16407,ABHD11,GENE,NC_000007.13,73150423,73153132,NC_000007.14,73736093,73738866,abhydrolase domain containing 11,"PP1226,WBSCR21",chr7,GeneID:83451,,
ABHD12,HGNC:15868,ABHD12,GENE,NC_000020.10,25275378,25371471,NC_000020.11,25294742,25390835,abhydrolase domain containing 12%2C lysophospholipase,"ABHD12A,BEM46L2,C20orf22,dJ965G21.2,hABHD12,PHARC",chr20,GeneID:26090,,
ABHD12B,HGNC:19837,ABHD12B,GENE,NC_000014.8,51338770,51371688,NC_000014.9,50872052,50904970,abhydrolase domain containing 12B,"BEM46L3,C14orf29,c14_5314",chr14,GeneID:145447,,
ABHD13,HGNC:20293,ABHD13,GENE,NC_000013.10,108870739,108886591,NC_000013.11,108218391,108235440,abhydrolase domain containing 13,"bA153I24.2,BEM46L1,C13orf6",chr13,GeneID:84945,,
ABHD14A,HGNC:24538,ABHD14A,GENE,NC_000003.11,52009079,52015212,NC_000003.12,51975063,51981196,abhydrolase domain containing 14A,DORZ1,chr3,GeneID:25864,,
ABHD14A-ACY1,HGNC:38856,ABHD14A-ACY1,GENE,NC_000003.11,52009079,52023213,NC_000003.12,51975063,51989197,ABHD14A-ACY1 readthrough,,chr3,GeneID:100526760,,
ABHD14B,HGNC:28235,ABHD14B,GENE,NC_000003.11,52002525,52008646,NC_000003.12,51968509,51974630,abhydrolase domain containing 14B,"CIB,HEL-S-299",chr3,GeneID:84836,,
ABHD15,HGNC:26971,ABHD15,GENE,NC_000017.10,27887564,27894055,NC_000017.11,29560546,29567037,abhydrolase domain containing 15,,chr17,GeneID:116236,,
ABHD16A,HGNC:13921,ABHD16A,GENE,NC_000006.11,31654731,31671101,NC_000006.12,31686954,31703324,abhydrolase domain containing 16A%2C phospholipase,"BAT5,D6S82E,hBAT5,NG26,PP199",chr6,GeneID:7920,,
ABHD16B,HGNC:16128,ABHD16B,GENE,NC_000020.10,62492850,62494341,NC_000020.11,63861497,63862988,abhydrolase domain containing 16B,"C20orf135,dJ591C20.1",chr20,GeneID:140701,,
ABHD17A,HGNC:28756,ABHD17A,GENE,NC_000019.9,1876808,1885495,NC_000019.10,1876809,1885519,abhydrolase domain containing 17A%2C depalmitoylase,"C19orf27,FAM108A1",chr19,GeneID:81926,,
ABHD17B,HGNC:24278,ABHD17B,GENE,NC_000009.11,74477367,74526109,NC_000009.12,71862451,71911536,abhydrolase domain containing 17B%2C depalmitoylase,"C9orf77,CGI-67,FAM108B1",chr9,GeneID:51104,,
ABHD17C,HGNC:26925,ABHD17C,GENE,NC_000015.9,80987650,81047962,NC_000015.10,80695309,80755621,abhydrolase domain containing 17C%2C depalmitoylase,FAM108C1,chr15,GeneID:58489,,
ABHD18,HGNC:26111,ABHD18,GENE,NC_000004.11,128886560,128961108,NC_000004.12,127965260,128039953,abhydrolase domain containing 18,C4orf29,chr4,GeneID:80167,,
ABHD2,HGNC:18717,ABHD2,GENE,NC_000015.9,89631686,89745586,NC_000015.10,89088421,89202355,abhydrolase domain containing 2%2C acylglycerol lipase,"HS1-2,LABH2,PHPS1-2",chr15,GeneID:11057,,
ABHD3,HGNC:18718,ABHD3,GENE,NC_000018.9,19230861,19284735,NC_000018.10,21650900,21704793,abhydrolase domain containing 3%2C phospholipase,LABH3,chr18,GeneID:171586,,
ABHD4,HGNC:20154,ABHD4,GENE,NC_000014.8,23067146,23081265,NC_000014.9,22598297,22612963,abhydrolase domain containing 4%2C N-acyl phospholipase B,ABH4,chr14,GeneID:63874,,
ABHD5,HGNC:21396,ABHD5,GENE,NC_000003.11,43732361,43775863,NC_000003.12,43690869,43734371,abhydrolase domain containing 5%2C lysophosphatidic acid acyltransferase,"CGI58,IECN2,NCIE2",chr3,GeneID:51099,,
ABHD6,HGNC:21398,ABHD6,GENE,NC_000003.11,58223518,58280461,NC_000003.12,58237531,58294736,abhydrolase domain containing 6%2C acylglycerol lipase,,chr3,GeneID:57406,,
ABHD8,HGNC:23759,ABHD8,GENE,NC_000019.9,17402939,17414234,NC_000019.10,17292130,17303425,abhydrolase domain containing 8,,chr19,GeneID:79575,,
ABI1,HGNC:11320,ABI1,GENE,NC_000010.10,27035524,27149887,NC_000010.11,26746595,26860986,abl interactor 1,"ABI-1,ABLBP4,E3B1,NAP1BP,SSH3BP,SSH3BP1",chr10,GeneID:10006,,
ABI2,HGNC:24011,ABI2,GENE,NC_000002.11,204193116,204296892,NC_000002.12,203325012,203432169,abl interactor 2,"ABI-2,ABI2B,AblBP3,AIP-1,AIP1,argBP1,argBPIA,argBPIB,SSH3BP2",chr2,GeneID:10152,,YES
ABI3,HGNC:29859,ABI3,GENE,NC_000017.10,47288068,47300587,NC_000017.11,49210581,49223225,ABI family member 3,"NESH,SSH3BP3",chr17,GeneID:51225,,
ABI3BP,HGNC:17265,ABI3BP,GENE,NC_000003.11,100467999,100712265,NC_000003.12,100749155,100993508,ABI family member 3 binding protein,"NESHBP,TARSH",chr3,GeneID:25890,,
ABITRAM,HGNC:1364,ABITRAM,GENE,NC_000009.11,111696679,111703234,NC_000009.12,108934396,108950745,actin binding transcription modulator,"C9orf6,CG-8,FAM206A,Simiate",chr9,GeneID:54942,,
ABL1,HGNC:76,ABL1,GENE,NC_000009.11,133589267,133763062,NC_000009.12,130713042,130887675,ABL proto-oncogene 1%2C non-receptor tyrosine kinase,"ABL,BCR-ABL,bcr/abl,c-ABL,c-ABL1,CHDSKM,JTK7,p150,v-abl",chr9,GeneID:25,YES,
ABL2,HGNC:77,ABL2,GENE,NC_000001.10,179068464,179198812,NC_000001.11,179099329,179229693,ABL proto-oncogene 2%2C non-receptor tyrosine kinase,"ABLL,ARG",chr1,GeneID:27,YES,
ABLIM1,HGNC:78,ABLIM1,GENE,NC_000010.10,116190868,116528063,NC_000010.11,114431109,114821643,actin binding LIM protein 1,"ABLIM,abLIM-1,LIMAB1,LIMATIN",chr10,GeneID:3983,,
ABLIM2,HGNC:19195,ABLIM2,GENE,NC_000004.11,7967053,8160540,NC_000004.12,7965311,8158813,actin binding LIM protein family member 2,,chr4,GeneID:84448,,
ABLIM3,HGNC:29132,ABLIM3,GENE,NC_000005.9,148521055,148640105,NC_000005.10,149141492,149260542,actin binding LIM protein family member 3,HMFN1661,chr5,GeneID:22885,,
ABO,HGNC:79,ABO,GENE,NC_000009.11,136125787,136150617,NC_000009.12,133250400,133275201,ABO%2C alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase,"A3GALNT,A3GALT1,GTB,NAGAT",chr9,GeneID:28,,
ABR,HGNC:81,ABR,GENE,NC_000017.10,906758,1133016,NC_000017.11,1003518,1229722,ABR activator of RhoGEF and GTPase,MDB,chr17,GeneID:29,,
ABRA,HGNC:30655,ABRA,GENE,NC_000008.10,107771710,107782472,NC_000008.11,106759482,106809073,actin binding Rho activating protein,STARS,chr8,GeneID:137735,,
ABRACL,HGNC:21230,ABRACL,GENE,NC_000006.11,139349881,139364439,NC_000006.12,139028744,139043302,ABRA C-terminal like,"C6orf115,Costars,HSPC280,PRO2013",chr6,GeneID:58527,,
ABRAXAS1,HGNC:25829,ABRAXAS1,GENE,NC_000004.11,84380669,84406253,NC_000004.12,83459516,83485137,abraxas 1%2C BRCA1 A complex subunit,"ABRA1,CCDC98,FAM175A",chr4,GeneID:84142,,
ABRAXAS2,HGNC:28975,ABRAXAS2,GENE,NC_000010.10,126490387,126525236,NC_000010.11,124801802,124836670,abraxas 2%2C BRISC complex subunit,"ABRO1,FAM175B,KIAA0157",chr10,GeneID:23172,,
ABT1,HGNC:17369,ABT1,GENE,NC_000006.11,26597180,26600967,NC_000006.12,26596952,26600739,activator of basal transcription 1,"Esf2,hABT1",chr6,GeneID:29777,,
ABTB1,HGNC:18275,ABTB1,GENE,NC_000003.11,127391794,127399769,NC_000003.12,127672927,127680926,ankyrin repeat and BTB domain containing 1,"BPOZ,BTB3,BTBD21,EF1ABP,PP2259",chr3,GeneID:80325,,
ABTB2,HGNC:23842,ABTB2,GENE,NC_000011.9,34172533,34379557,NC_000011.10,34150986,34358010,ankyrin repeat and BTB domain containing 2,"ABTB2A,BTBD22",chr11,GeneID:25841,,
ACAA1,HGNC:82,ACAA1,GENE,NC_000003.11,38164205,38178618,NC_000003.12,38122709,38137127,acetyl-CoA acyltransferase 1,"ACAA,PTHIO,THIO",chr3,GeneID:30,,
ACAA2,HGNC:83,ACAA2,GENE,NC_000018.9,47308533,47339903,NC_000018.10,49782163,49813533,acetyl-CoA acyltransferase 2,DSAEC,chr18,GeneID:10449,,
ACACA,HGNC:84,ACACA,GENE,NC_000017.10,35441926,35766927,NC_000017.11,37084991,37406836,acetyl-CoA carboxylase alpha,"ACAC,ACACAD,ACC,ACC1,ACCA",chr17,GeneID:31,,
ACACB,HGNC:85,ACACB,GENE,NC_000012.11,109554391,109706031,NC_000012.12,109112665,109268226,acetyl-CoA carboxylase beta,"ACC-beta,ACC2,ACCB,HACC275",chr12,GeneID:32,,
ACAD10,HGNC:21597,ACAD10,GENE,NC_000012.11,112123856,112194903,NC_000012.12,111686052,111757099,acyl-CoA dehydrogenase family member 10,,chr12,GeneID:80724,,
ACAD11,HGNC:30211,ACAD11,GENE,NC_000003.11,132276984,132378653,NC_000003.12,132558140,132659809,acyl-CoA dehydrogenase family member 11,ACAD-11,chr3,GeneID:84129,,
ACAD8,HGNC:87,ACAD8,GENE,NC_000011.9,134123461,134135749,NC_000011.10,134253537,134265858,acyl-CoA dehydrogenase family member 8,"ACAD-8,ARC42,IBDH",chr11,GeneID:27034,,
ACAD9,HGNC:21497,ACAD9,GENE,NC_000003.11,128598462,128631957,NC_000003.12,128879595,128913114,acyl-CoA dehydrogenase family member 9,"MC1DN20,NPD002",chr3,GeneID:28976,,
ACADL,HGNC:88,ACADL,GENE,NC_000002.11,211052646,211090171,NC_000002.12,210187922,210225447,acyl-CoA dehydrogenase long chain,"ACAD4,LCAD",chr2,GeneID:33,,
ACADM,HGNC:89,ACADM,GENE,NC_000001.10,76190393,76229364,NC_000001.11,75724708,75763679,acyl-CoA dehydrogenase medium chain,"ACAD1,MCAD,MCADH",chr1,GeneID:34,,
ACADS,HGNC:90,ACADS,GENE,NC_000012.11,121163628,121177811,NC_000012.12,120725825,120740008,acyl-CoA dehydrogenase short chain,"ACAD3,SCAD",chr12,GeneID:35,,
ACADSB,HGNC:91,ACADSB,GENE,NC_000010.10,124768521,124817806,NC_000010.11,123009005,123058290,acyl-CoA dehydrogenase short/branched chain,"2-MEBCAD,ACAD7,SBCAD",chr10,GeneID:36,,
ACADVL,HGNC:92,ACADVL,GENE,NC_000017.10,7120443,7128585,NC_000017.11,7217124,7225266,acyl-CoA dehydrogenase very long chain,"ACAD6,LCACD,VLCAD",chr17,GeneID:37,,
